date,0,1,2,3,4
2001-03-30,-0.012727918329854537,-0.014896937422408187,0.0330180874096722,0.02216570227655358,0.04384621638156153
2001-04-30,-0.01759738333146023,0.06029361321720661,0.0634144612320641,0.050080242177912494,0.12110528875126558
2001-05-31,0.011847464862919333,0.02224919809924234,-0.01268386071149451,0.003037410233118358,-0.04274011285769564
2001-06-29,-0.12026211601002386,-0.13729206613389533,-0.15102814377294732,-0.12146639795072676,-0.14967303443484034
2001-07-31,0.0014376574646909794,-0.02225589950815791,-0.03903515436766894,-0.02522691646915893,-0.031529169599116114
2001-08-31,-0.0627268593243769,-0.08695337155533679,-0.05350479576328668,-0.03762590212816699,-0.0717821247312059
2001-09-28,-0.04484258627988787,-0.030607805455104612,-0.050827500209977464,-0.014673337863455715,-0.019693636503443374
2001-10-31,0.06400038309315388,0.020068959138799653,0.07963153296257232,0.03789857451578416,0.05655687146059903
2001-11-30,-0.06538672503362888,-0.0426150796810544,-0.08237072175404642,-0.08650709345978934,-0.10032680284970384
2001-12-31,-0.15002973722802934,-0.14254963318594147,-0.13760022868998562,-0.1289366064728119,-0.10665666414038266
2002-01-31,0.03633959171985176,0.07296748646176353,0.03627852425169889,0.034104029925088056,0.011209397597948112
2002-02-28,0.11253168601987823,0.13939241706467376,0.06405177861940026,0.06718778885509538,0.08906246104814078
2002-03-29,0.08479370865148314,0.06418778216601127,0.07355950643776248,0.09087799270557735,0.10062561904261721
2002-04-30,-0.10405135543605853,-0.07138105709180206,-0.09370337245627434,-0.12627531492128036,-0.11376641255767742
2002-05-31,0.13717027689774286,0.13745185535630852,0.14488349931611288,0.11102622687289161,0.07252756385364932
2002-06-28,-0.06558298178864601,-0.04460040683776706,-0.0329846394560631,-0.041091547322260794,-0.02020016083506493
2002-07-31,0.007636143412135404,0.026237171512888794,-0.0011860237724713907,0.008109897985112871,0.00742582988966113
2002-08-30,-0.06683544690361067,-0.04471901353448843,-0.07559942726131694,-0.03318274947885591,-0.031481896064947855
2002-09-30,-0.04166239764107592,-0.061013489545289276,-0.04800165893015868,-0.04767795439594331,-0.048372742089564054
2002-10-31,-0.09608722848466887,-0.10388779725423977,-0.07349227240704288,-0.08421403489671392,-0.08091647553696872
2002-11-29,-0.05341474246839348,-0.0425278398470727,-0.06845014307076051,-0.04817338704532162,-0.06364057938606568
2002-12-31,0.12124028612024687,0.13527077237299603,0.07501759938814365,0.09800998683742658,0.08098463541436089
2003-01-31,0.010159746210748536,0.02979841313372797,-0.0030154953993488404,0.006660786121488543,0.009946537935542944
2003-02-28,-0.0034629859239331887,-0.02309115569352923,-0.033135191085250135,-0.012546261782806786,-0.015156802257726167
2003-03-31,-0.005216236871870145,-0.05333546498722944,-0.0732444631924749,-0.08597398726949866,-0.09333497689292204
2003-04-30,0.05167069443959351,0.010380559610136638,0.06414937391050153,0.04253038313229267,0.009088701607734798
2003-05-30,-0.07472719210518798,-0.0956848074105659,-0.08010383573484725,-0.0896794438577908,-0.06903005940702218
2003-06-30,-0.00318416928972386,-0.015580049303238655,-0.019324244491119753,-0.0547049677438096,-0.0740750050192308
2003-07-31,-0.014627582608106815,0.00915747059199355,-0.041446543703067634,-0.025296970273020695,0.008768988612383366
2003-08-29,-0.0717394218674471,-0.06250771449146308,-0.04953411261380312,-0.028180677881999766,-0.03531322062778299
2003-09-30,-0.013736276937057059,-0.053290197093517955,-0.06793417897899397,-0.1104085795370396,-0.11178952756502064
2003-10-31,-0.003498721302644978,0.0009532170567853773,0.005618888012140495,0.012676543771090456,-0.02002928457538235
2003-11-28,0.07058374636709873,-0.03390586519114307,-0.007365760461916104,-0.021174438377131444,-0.04064684862021938
2003-12-31,0.08974798358782746,0.10293219090885883,0.07245915868862007,0.11169201460214244,0.04546383172633389
2004-01-30,0.08630365418682223,0.1486177644246165,0.10736796325116214,0.10237110623469411,0.1452301001110377
2004-02-27,0.03473122720548245,0.04597824351992087,0.07086164663759603,0.02962852603674033,0.02772696287354638
2004-03-31,-0.0614903362487669,-0.10657905374984801,-0.11152769106665725,-0.10441592223400634,-0.1062200911660922
2004-04-30,-0.03736440027957173,-0.00914521510495094,-0.02650720019010571,-0.02711363749264676,-0.012410781069731924
2004-05-31,-0.14855661969599454,-0.15764783273949043,-0.14130190014870644,-0.12860057331108948,-0.15560257194810453
2004-06-30,0.023928411686157548,-0.07390827386968826,-0.05473260789396723,-0.017843287682307165,-0.05140968480034513
2004-07-30,-0.038143219437109896,-0.056253758392420146,-0.06552707051347641,-0.035173132455337784,-0.02628782548312451
2004-08-31,0.09386322167682523,0.0069658722861784695,0.047121632866632346,0.04380468168282922,0.03941098216132745
2004-09-30,-0.06374436635785792,-0.06145249972031949,-0.04180712592460525,-0.10513065611398105,-0.08814725232583082
2004-10-29,0.0007240426724146,0.06124894474411558,0.03859821989791939,0.0664282833310065,0.02908798122499906
2004-11-30,-0.026346524288707637,-0.103195818291474,-0.11906210725693606,-0.08004703278817514,-0.09703623190792322
2004-12-31,-0.024524582530137163,-0.07417010479392261,-0.10081698876095882,-0.05757700100086146,-0.048915180963779274
2005-01-31,0.10849604167085539,0.10886972580142294,0.10387541664798436,0.09065591469121502,0.09995102655964384
2005-02-28,-0.06253072259151325,-0.10711591735042707,-0.12877199125070918,-0.11545081944471178,-0.1267429929390283
2005-03-31,-0.012726873800060517,-0.10582311863347331,-0.0839360349499073,-0.08900888381482741,-0.14665366954088707
2005-04-29,-0.1419671082847541,-0.003319603792543113,-0.056626457445916864,-0.04887377533616791,-0.028832974041830682
