a_ticker,b_ticker
11,200011
12,200012
16,200016
17,200017
19,200019
20,200020
25,200025
26,200026
28,200028
29,200029
30,200030
37,200037
45,200045
55,200055
56,200056
58,200058
413,200413
429,200429
488,200488
505,200505
521,200521
530,200530
539,200539
541,200541
550,200550
553,200553
570,200570
581,200581
596,200596
613,200613
625,200625
725,200725
726,200726
761,200761
869,200869
1872,201872
