,mean,med,std
2002-01-04,7.913820551758863,8.102564102564102,6.524842600443085
2002-01-07,7.639846466009479,5.255685523041506,6.340057295829175
2002-01-08,8.004102100866145,5.507429230178045,6.694449714060259
2002-01-09,8.121396243091837,5.628121468926554,6.8143707808545395
2002-01-10,8.081501224648507,5.608408395083639,6.783101675891299
2002-01-11,8.263830355971068,8.502824858757062,6.894321877748848
2002-01-14,8.106359629507986,8.451519536903039,6.68846283521817
2002-01-15,7.943680929143574,8.203592814371259,6.545870632232648
2002-01-16,7.765167061258578,5.417646798726565,6.458208701406046
2002-01-17,7.652582970638739,5.353539518900344,6.369357040341608
2002-01-18,7.687500827711271,7.878787878787879,6.357592903360076
2002-01-21,7.507154487307092,5.46758627412751,6.221522055899783
2002-01-22,7.969524438406144,5.7314460696997,6.676676338739323
2002-01-23,8.208618425867588,5.948641536646752,6.868947119184984
2002-01-24,8.228814812258877,3.1185770750988144,6.963446892519001
2002-01-25,8.49160407795065,9.133034379671152,7.055871145569185
2002-01-28,8.670906116283623,6.318070739549839,7.427215526513627
2002-01-29,8.691949105628632,6.290537397267355,7.34589629588943
2002-01-30,8.679295534108523,6.265347063647903,7.293638113774407
2002-01-31,8.447883458709871,6.0745267205927505,7.055114385938393
2002-02-01,8.410003685511485,5.981689910655916,7.01217602839923
2002-02-04,8.291110446877974,5.948978148645782,6.866888654843445
2002-02-05,8.300882560190146,5.9995435935660195,6.852398419119141
2002-02-06,8.306791513476762,3.0632411067193677,6.939186747007775
2002-02-07,8.357165666525587,9.18881118881119,6.849139516404914
2002-02-08,8.454000026790323,6.060475474473874,7.03340982688879
2002-02-25,8.34543523077833,3.020952380952381,6.984148748071054
2002-02-26,8.605370409050536,6.106698107056701,7.167076456669676
2002-02-27,8.591414911237502,6.097414853001445,7.128264034754584
2002-02-28,8.555498743157173,9.286713286713287,7.031185057514992
2002-03-01,8.512492127974701,6.119526055530187,7.089871675285955
2002-03-04,8.473567941241807,6.115941555613622,7.009775728263933
2002-03-05,8.385470648898806,2.9720149253731343,6.989989160815716
2002-03-06,8.515234888049834,6.148735056991938,7.0389930689019975
2002-03-07,8.54981152597168,6.0974698627306845,7.051964351117895
2002-03-08,8.610565635116835,6.013865803516753,7.113922165513862
2002-03-11,8.512381499338133,3.0633802816901405,7.050119277829654
2002-03-12,8.69737993379495,2.943661971830986,7.2308886191544754
2002-03-13,8.631476159434824,2.9850746268656714,7.170074110771125
2002-03-14,8.743215494022117,6.207659860839051,7.220338205960911
2002-03-15,8.863030305186319,6.245911949685535,7.3800617093290795
2002-03-18,8.721466199479792,6.1768108099629835,7.209504802143416
2002-03-19,8.727714853470543,6.137702514984765,7.1931537281614535
2002-03-20,8.807694330452378,6.114479889042995,7.263587880367546
2002-03-21,8.845096056762483,6.190725112314734,7.261187459857471
2002-03-22,8.929262501347095,6.1653661439075185,7.347761315617759
2002-03-25,8.849343620752242,6.208934196305034,7.2282344705933195
2002-03-26,8.838343201591599,6.182091256749307,7.212412635281441
2002-03-27,8.771338891268787,6.173829271069618,7.138624054908814
2002-03-28,8.673994370325943,6.110059171597633,7.072229412206767
2002-03-29,8.688729288841433,5.985668702206084,7.1636263484314195
2002-04-01,8.531342210231935,5.999642283545043,6.95808673504765
2002-04-02,8.559711017641117,5.955202416482141,7.023141070475059
2002-04-03,8.568302564232292,5.912486048069053,7.0371107427750195
2002-04-04,8.698101299626334,6.024612831858407,7.1116844382773206
2002-04-05,8.695567984876702,2.993318485523385,7.207601313167522
2002-04-08,8.833283168807778,9.003931847968545,7.146834223259796
2002-04-09,8.88617213413029,6.107562408223201,7.24299098276413
2002-04-10,8.94224075850191,6.230888891468639,7.292240544352788
2002-04-11,8.840621010335806,6.137203166226913,7.2238831682191105
2002-04-12,8.975339057316297,6.192622902070869,7.380237963889496
2002-04-15,9.308583776216794,6.373965427623249,7.605106263736946
2002-04-16,9.416078308238415,9.857142857142858,7.596640025057103
2002-04-17,9.34335116895556,9.872521246458923,7.540285241147141
2002-04-18,9.804469072477813,10.392156862745098,7.78702552979317
2002-04-19,9.653641341714524,10.15873015873016,7.877505465597137
2002-04-22,9.569550386941085,3.1725,7.892748630655621
2002-04-23,9.471119156143619,6.71716538118007,7.744586995062514
2002-04-24,9.399855444556836,6.67507941829095,7.708615205411548
2002-04-25,9.360859764797944,3.2043795620437954,7.774858064718343
2002-04-26,9.678300686944205,10.15068493150685,7.963969600962989
2002-04-29,9.760654535890811,9.879032258064518,8.068629021462845
2002-04-30,9.70727025985467,6.886285891527827,8.028029897920085
2002-05-08,9.271883409345689,3.1315789473684212,7.81328856769334
2002-05-09,9.50586631072314,3.7223476297968396,7.901200183903671
2002-05-10,9.2873141070348,2.982089552238806,7.885733516725879
2002-05-13,9.450319005272313,3.6525821596244135,7.866700261111155
2002-05-14,9.305811207815141,3.422812909496412,7.770658421016014
2002-05-15,9.333256694083063,6.835148472730367,7.656836731603581
2002-05-16,9.216907575582354,9.671159222883361,7.397352718095108
2002-05-17,9.04121365560789,6.782825857937965,7.390490051945399
2002-05-20,9.05738545299683,6.752637485970818,7.42493602000312
2002-05-21,9.169142385179315,6.9865172189733595,7.508471639753031
2002-05-22,9.309011793223275,9.782344800008309,7.502210316249471
2002-05-23,9.30598455875659,6.939508017972289,7.60199136707766
2002-05-24,9.341378131462617,9.660284126003706,7.634097488795925
2002-05-27,9.598111849592897,9.829885770514247,7.813247753958877
2002-05-28,9.80421858500597,10.070857523555723,7.862123264857344
2002-05-29,9.22579887684005,3.814835412257396,7.772675299112055
2002-05-30,8.996108596275192,3.1175337186897876,7.577587500961406
2002-05-31,9.218952755516169,9.523681795722453,7.404056584677486
2002-06-03,9.197762083382313,9.450980392156863,7.441314568767646
2002-06-04,9.177925200724504,9.451583585388555,7.331957768993164
2002-06-05,8.986353982587278,9.296759747102215,7.2122097331839665
2002-06-06,9.061202322628002,9.364035087719296,7.314503352841006
2002-06-07,9.132337358259832,9.450549450549449,7.336930894827332
2002-06-10,8.90374902222067,6.987534540514673,7.170984986239132
2002-06-11,8.938261765773092,4.505800464037124,7.281073331243949
2002-06-12,9.205388176296351,9.424778761061946,7.406290377202262
2002-06-13,9.243648109314874,9.447245151523806,7.370288918777103
2002-06-14,9.204705780612949,9.371162970295034,7.338425856940724
2002-06-17,9.267372522066623,9.473574194684034,7.372183508550687
2002-06-18,9.241512973238557,6.984645951878167,7.460183784937404
2002-06-19,9.0549581766974,4.561771561771562,7.364785134677001
2002-06-20,9.050145665241809,7.019036574621415,7.270217762067308
2002-06-21,9.328880207086549,7.078709786205589,7.505091367636178
2002-06-24,9.273598652703859,9.589632829373652,7.4041326500416655
2002-06-25,9.275347588002143,9.608247422680414,7.409476539245625
2002-06-26,9.44176102872691,9.654471544715447,7.602027347634513
2002-06-27,9.291863912587049,9.674134419551935,7.435338002742228
2002-06-28,9.764636216548158,10.444077272897765,7.726282548682026
2002-07-01,9.375444086418998,9.596602972399149,7.503726323405546
2002-07-02,9.40607790797982,10.028301764147633,7.551959956034034
2002-07-03,9.147676092482648,9.88640174379611,7.36436997835282
2002-07-04,9.196716050669702,9.672180226030985,7.427697951722655
2002-07-05,9.164806388817915,9.519030937752406,7.464030766813092
2002-07-08,9.223806127266897,9.574591282197716,7.468577255362391
2002-07-09,9.29085086526027,9.637731481481481,7.492138014829064
2002-07-10,9.234734853884405,9.520553827363116,7.448271175990149
2002-07-11,9.1960254388963,9.442842954099369,7.425733696916427
2002-07-12,9.256634739686957,9.564708810353409,7.502194369729889
