Indexcd,Trddt,Clsindex,Retindex
000002,20011010,1760.820,-0.033663
000002,20011011,1709.370,-0.029219
000002,20011012,1764.990,0.032538
000002,20011015,1760.320,-0.002646
000002,20011016,1727.400,-0.018701
000002,20011017,1713.830,-0.007856
000002,20011018,1685.830,-0.016338
000002,20011019,1640.410,-0.026942
000002,20011022,1585.770,-0.033309
000002,20011023,1742.060,0.098558
000002,20011024,1792.560,0.028989
000002,20011025,1749.160,-0.024211
000002,20011026,1750.380,0.000697
000002,20011029,1774.230,0.013626
000002,20011030,1755.850,-0.010359
000002,20011031,1762.360,0.003708
000002,20011101,1781.880,0.011076
000002,20011102,1764.750,-0.009613
000002,20011105,1752.200,-0.007111
000002,20011106,1743.180,-0.005148
000002,20011107,1661.910,-0.046622
000002,20011108,1674.180,0.007383
000002,20011109,1701.060,0.016056
000002,20011112,1691.454,-0.005647
000002,20011113,1686.070,-0.003183
000002,20011114,1687.130,0.000629
000002,20011115,1691.640,0.002673
000002,20011116,1718.070,0.015624
000002,20011119,1742.270,0.014086
000002,20011120,1773.320,0.017822
000002,20011121,1779.640,0.003564
000002,20011122,1790.260,0.005967
000002,20011123,1786.810,-0.001927
000002,20011126,1779.850,-0.003895
000002,20011127,1797.330,0.009821
000002,20011128,1810.310,0.007222
000002,20011129,1807.290,-0.001668
000002,20011130,1822.840,0.008604
000002,20011203,1837.550,0.008070
000002,20011204,1844.910,0.004005
000002,20011205,1819.500,-0.013773
000002,20011206,1825.310,0.003193
000002,20011207,1818.410,-0.003780
000002,20011210,1820.850,0.001342
000002,20011211,1800.390,-0.011237
000002,20011212,1785.860,-0.008070
000002,20011213,1758.480,-0.015332
000002,20011214,1745.210,-0.007546
000002,20011217,1734.590,-0.006085
000002,20011218,1756.360,0.012551
000002,20011219,1741.500,-0.008461
000002,20011220,1698.050,-0.024950
000002,20011221,1706.850,0.005182
000002,20011224,1671.350,-0.020799
000002,20011225,1676.450,0.003051
000002,20011226,1699.640,0.013833
000002,20011227,1693.770,-0.003454
000002,20011228,1705.930,0.007179
000002,20011231,1712.540,0.003875
000002,20020104,1676.300,-0.021162
000002,20020107,1660.750,-0.009276
000002,20020108,1648.480,-0.007388
000002,20020109,1626.160,-0.013540
000002,20020110,1641.450,0.009403
000002,20020111,1599.040,-0.025837
000002,20020114,1546.430,-0.032901
000002,20020115,1519.580,-0.017363
000002,20020116,1539.820,0.013319
000002,20020117,1476.950,-0.040829
000002,20020118,1472.350,-0.003115
000002,20020121,1422.360,-0.033953
000002,20020122,1416.080,-0.004415
000002,20020123,1506.640,0.063951
000002,20020124,1518.840,0.008097
000002,20020125,1513.610,-0.003443
000002,20020128,1418.280,-0.062982
000002,20020129,1453.070,0.024530
000002,20020130,1456.880,0.002622
000002,20020131,1555.080,0.067404
000002,20020201,1548.610,-0.004161
000002,20020204,1575.190,0.017164
000002,20020205,1582.750,0.004799
000002,20020206,1548.970,-0.021343
000002,20020207,1579.910,0.019975
000002,20020208,1571.120,-0.005564
